id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
51,9054653f,High,In Progress,Network,Email not working,Email not working; Network; assigned Grace.,7/26/2024,8/4/2024,Grace,2024-07-26T01:30:00
52,0d01a5c5,Low,Open,Network,Login issue,Network issue: Login issue — see ticket 0d01a5c5.,10/14/2024,10/14/2024,Bob,2024-10-14T11:44:00
53,01fb07ca,High,In Progress,Access,Software install request,Access - Software install request. Priority: High.,7/14/2024,7/16/2024,Frank,2024-07-14T02:20:00
54,84668aa2,Medium,Open,Security,Email not working,Email not working — Security ticket assigned to Alice.,1/3/2024,1/8/2024,Alice,2024-01-03T02:39:00
55,d3f1d2d4,High,Resolved,Hardware,Email not working,High priority: Email not working (Hardware).,4/26/2024,,Alice,2024-04-26T08:32:00
56,b0eb9e2b,Critical,Closed,Hardware,Software install request,Software install request; Hardware; assigned Eve.,6/30/2024,7/2/2024,Eve,2024-06-30T06:03:00
57,a02b0dfb,Medium,In Progress,Software,Email not working,Help Carol with Email not working (Software).,4/29/2024,5/7/2024,Carol,2024-04-29T18:21:00
58,56a0a0b6,Low,Closed,Hardware,VPN problem,Low - VPN problem. Assigned: David.,7/23/2024,7/26/2024,David,2024-07-23T09:27:00
59,65de4a09,Low,Closed,Security,Software install request,Low - Software install request. Assigned: Eve.,1/30/2024,,Eve,2024-01-30T19:31:00
60,17d5d62d,Low,Open,Security,Email not working,Low priority: Email not working (Security).,5/12/2024,5/15/2024,Frank,2024-05-12T18:17:00
61,459931b3,Low,In Progress,Network,Computer slow,Help Bob with Computer slow (Network).,1/18/2024,,Bob,2024-01-18T11:35:00
62,4d4188d6,Critical,Open,Software,Computer slow,Computer slow reported; Frank handling; Critical.,5/25/2024,6/1/2024,Frank,2024-05-25T22:10:00
63,e5925e57,Critical,Closed,Access,VPN problem,Frank to resolve VPN problem in Access.,10/27/2024,,Frank,2024-10-27T23:10:00
64,57b125df,Low,Open,Access,Email not working,Email not working; Access; assigned Eve.,1/23/2024,1/30/2024,Eve,2024-01-23T22:14:00
65,f0cae446,High,Open,Access,Email not working,Email not working reported; David handling; High.,6/11/2024,6/15/2024,David,2024-06-11T22:45:00
66,9c0af6f6,High,Open,Network,Login issue,Login issue (Network) — ticket 9c0af6f6.,4/24/2024,5/2/2024,Frank,2024-04-24T17:46:00
67,2837982,Low,Closed,Network,Login issue,Network - Login issue. Priority: Low.,4/23/2024,4/28/2024,David,2024-04-23T22:18:00
68,357a8ad0,Critical,Closed,Hardware,Email not working,Critical priority: Email not working (Hardware).,10/1/2024,10/11/2024,Carol,2024-10-01T08:08:00
69,7f843250,High,Open,Software,Software install request,Software install request — Software ticket assigned to David.,3/12/2024,3/20/2024,David,2024-03-12T15:06:00
70,62f4e664,Critical,Closed,Security,VPN problem,Critical priority: VPN problem (Security).,6/10/2024,6/19/2024,Alice,2024-06-10T14:44:00
71,61e61c6d,Low,Closed,Security,VPN problem,Security issue: VPN problem — see ticket 61e61c6d.,4/12/2024,4/13/2024,Carol,2024-04-12T22:25:00
72,5dd3a92d,High,Open,Security,VPN problem,Security - VPN problem. Priority: High.,2/15/2024,2/15/2024,Alice,2024-02-15T00:29:00
73,76b8fa16,Critical,Open,Software,Email not working,Software - Email not working. Priority: Critical.,1/22/2024,1/28/2024,Bob,2024-01-22T19:58:00
74,8efdc245,High,Closed,Network,Email not working,Email not working; Network; assigned Bob.,1/28/2024,,Bob,2024-01-28T10:36:00
75,cdbb5ca8,High,Closed,Hardware,VPN problem,VPN problem reported; Frank handling; High.,3/14/2024,3/15/2024,Frank,2024-03-14T13:58:00
76,6d61ab30,Medium,Closed,Software,VPN problem,VPN problem (Software) — ticket 6d61ab30.,9/14/2024,9/19/2024,Carol,2024-09-14T03:59:00
77,7bfb020f,Critical,Resolved,Software,VPN problem,VPN problem — Software ticket assigned to Frank.,5/30/2024,6/5/2024,Frank,2024-05-30T01:00:00
78,5cebf090,High,Resolved,Access,Email not working,Email not working; Access; assigned Frank.,4/10/2024,,Frank,2024-04-10T11:19:00
79,554ad717,Critical,Resolved,Software,Email not working,Email not working; Software; assigned Grace.,9/29/2024,10/2/2024,Grace,2024-09-29T03:37:00
80,7e8ef6fe,Medium,Resolved,Access,Computer slow,Computer slow; Access; assigned David.,2/5/2024,2/10/2024,David,2024-02-05T14:15:00
81,aa185bfb,Medium,In Progress,Access,Email not working,Email not working — Access ticket assigned to Grace.,1/3/2024,1/6/2024,Grace,2024-01-03T09:36:00
82,21f1ee65,Critical,In Progress,Network,Login issue,Login issue — Network ticket assigned to Eve.,5/15/2024,5/20/2024,Eve,2024-05-15T10:35:00
83,f7c723f7,Medium,Open,Security,Software install request,Software install request (Security) — ticket f7c723f7.,5/22/2024,5/28/2024,David,2024-05-22T06:17:00
84,5bd18df9,Low,Open,Network,Software install request,Software install request reported; Carol handling; Low.,1/17/2024,1/23/2024,Carol,2024-01-17T01:31:00
85,bf953154,Medium,Closed,Access,VPN problem,VPN problem — Access ticket assigned to Alice.,10/26/2024,11/5/2024,Alice,2024-10-26T22:32:00
86,a49ce5cb,Low,Closed,Hardware,Computer slow,Computer slow; Hardware; assigned Bob.,1/18/2024,,Bob,2024-01-18T03:26:00
87,260cd223,Critical,Closed,Access,VPN problem,Access issue: VPN problem — see ticket 260cd223.,1/30/2024,2/7/2024,Alice,2024-01-30T04:10:00
88,c4b5d839,Medium,Resolved,Network,Software install request,Medium priority: Software install request (Network).,10/15/2024,10/23/2024,Alice,2024-10-15T02:16:00
89,b105df00,Critical,In Progress,Security,VPN problem,VPN problem reported; David handling; Critical.,9/28/2024,10/5/2024,David,2024-09-28T22:53:00
90,934b0138,Critical,Open,Access,Computer slow,Critical priority: Computer slow (Access).,2/22/2024,2/28/2024,David,2024-02-22T23:49:00
91,30ac0ac4,Medium,Resolved,Hardware,Computer slow,Help David with Computer slow (Hardware).,1/10/2024,1/16/2024,David,2024-01-10T18:21:00
92,cf22664a,High,Open,Security,Computer slow,Security - Computer slow. Priority: High.,4/14/2024,4/19/2024,Grace,2024-04-14T09:07:00
93,562b5742,High,In Progress,Software,Login issue,Login issue — Software ticket assigned to Alice.,9/9/2024,9/18/2024,Alice,2024-09-09T10:18:00
94,abd8dc75,Medium,In Progress,Access,Email not working,Access issue: Email not working — see ticket abd8dc75.,3/25/2024,4/1/2024,David,2024-03-25T18:55:00
95,9a6d059c,High,Open,Access,Software install request,Alice to resolve Software install request in Access.,5/20/2024,5/22/2024,Alice,2024-05-20T20:28:00
96,9734229b,Low,In Progress,Hardware,VPN problem,Hardware - VPN problem. Priority: Low.,2/8/2024,2/16/2024,David,2024-02-08T02:38:00
97,8388f4f2,Critical,In Progress,Software,Login issue,Software issue: Login issue — see ticket 8388f4f2.,7/5/2024,7/7/2024,Frank,2024-07-05T20:23:00
98,2af46ad6,Low,Open,Software,Login issue,Software issue: Login issue — see ticket 2af46ad6.,8/24/2024,9/2/2024,Alice,2024-08-24T15:56:00
99,500252f2,Medium,Closed,Access,Software install request,Software install request reported; David handling; Medium.,7/22/2024,7/22/2024,David,2024-07-22T14:57:00
100,ca734f9e,Medium,In Progress,Access,VPN problem,VPN problem reported; Frank handling; Medium.,8/22/2024,8/28/2024,Frank,2024-08-22T00:14:00
101,a9ac4238,Critical,Closed,Network,Login issue,Help Grace with Login issue (Network).,9/26/2024,10/4/2024,Grace,2024-09-26T11:10:00
102,abef17cb,High,Open,Security,VPN problem,Alice to resolve VPN problem in Security.,1/16/2024,1/18/2024,Alice,2024-01-16T05:55:00
103,5d8b345a,High,In Progress,Security,Computer slow,Computer slow reported; Eve handling; High.,6/20/2024,6/22/2024,Eve,2024-06-20T16:01:00
104,d8b04736,Medium,In Progress,Network,VPN problem,VPN problem (Network) — ticket d8b04736.,2/22/2024,,Frank,2024-02-22T14:53:00
105,626835cb,Low,Resolved,Access,Login issue,Login issue (Access) — ticket 626835cb.,7/25/2024,,Bob,2024-07-25T13:04:00
106,217b010e,Low,Closed,Security,Login issue,Login issue (Security) — ticket 217b010e.,6/29/2024,,Alice,2024-06-29T11:46:00
107,7b1f252a,Critical,In Progress,Software,Login issue,Login issue; Software; assigned Carol.,3/10/2024,3/19/2024,Carol,2024-03-10T06:53:00
108,0e4c8b12,High,Closed,Software,Software install request,Software issue: Software install request — see ticket 0e4c8b12.,7/8/2024,7/15/2024,Alice,2024-07-08T20:17:00
109,7c3ee184,Critical,Closed,Access,Email not working,Email not working; Access; assigned Bob.,9/17/2024,,Bob,2024-09-17T15:56:00
110,0b157abc,Medium,In Progress,Software,Computer slow,Computer slow; Software; assigned Bob.,5/18/2024,5/26/2024,Bob,2024-05-18T00:57:00
111,1465447f,Medium,Open,Hardware,Software install request,Hardware issue: Software install request — see ticket 1465447f.,4/21/2024,4/30/2024,Alice,2024-04-21T08:23:00
112,071ab626,Medium,Open,Hardware,VPN problem,Help Frank with VPN problem (Hardware).,7/23/2024,7/26/2024,Frank,2024-07-23T08:32:00
113,a5ad79a8,Low,In Progress,Hardware,Computer slow,Computer slow; Hardware; assigned Frank.,3/13/2024,3/14/2024,Frank,2024-03-13T13:34:00
114,0806444a,High,Resolved,Access,VPN problem,High - VPN problem. Assigned: Frank.,4/2/2024,4/4/2024,Frank,2024-04-02T12:54:00
115,074a0c3a,Medium,Resolved,Software,Login issue,Medium - Login issue. Assigned: David.,4/28/2024,5/1/2024,David,2024-04-28T03:55:00
116,73b0e509,Critical,Resolved,Hardware,VPN problem,VPN problem (Hardware) — ticket 73b0e509.,3/1/2024,3/1/2024,Bob,2024-03-01T08:36:00
117,fdfd2572,Low,In Progress,Network,Email not working,Email not working; Network; assigned Frank.,4/6/2024,4/7/2024,Frank,2024-04-06T08:45:00
118,f9a35e66,Critical,Closed,Hardware,Software install request,Software install request; Hardware; assigned David.,10/27/2024,10/29/2024,David,2024-10-27T06:41:00
119,96e8b8bf,Critical,Closed,Security,VPN problem,Critical - VPN problem. Assigned: Bob.,10/11/2024,10/12/2024,Bob,2024-10-11T23:06:00
120,8628c06b,Low,Closed,Software,Email not working,Low - Email not working. Assigned: Eve.,8/3/2024,8/12/2024,Eve,2024-08-03T21:28:00
121,bd21ff21,Medium,Open,Hardware,VPN problem,Grace to resolve VPN problem in Hardware.,10/9/2024,10/12/2024,Grace,2024-10-09T05:25:00
122,de4fc0b1,Low,Closed,Hardware,Login issue,Low - Login issue. Assigned: Alice.,1/17/2024,,Alice,2024-01-17T02:10:00
123,2422b6ce,Critical,Resolved,Network,Computer slow,Network - Computer slow. Priority: Critical.,8/2/2024,8/12/2024,Frank,2024-08-02T14:49:00
124,a8d42c83,Critical,Closed,Hardware,Login issue,Help Grace with Login issue (Hardware).,2/2/2024,2/6/2024,Grace,2024-02-02T11:51:00
125,d8dadf47,Low,Closed,Hardware,Software install request,Hardware issue: Software install request — see ticket d8dadf47.,5/16/2024,5/18/2024,Alice,2024-05-16T10:30:00
126,41edaad6,Critical,Closed,Software,Software install request,Software install request; Software; assigned David.,7/9/2024,,David,2024-07-09T03:40:00
127,f0e619cc,Medium,Open,Security,Email not working,Email not working reported; Frank handling; Medium.,3/19/2024,3/26/2024,Frank,2024-03-19T05:40:00
128,bb557fdf,Critical,Resolved,Network,Login issue,Critical priority: Login issue (Network).,4/1/2024,4/7/2024,David,2024-04-01T17:02:00
129,56fbdf76,High,In Progress,Access,VPN problem,VPN problem — Access ticket assigned to David.,5/23/2024,5/28/2024,David,2024-05-23T23:26:00
130,e667f6ae,Medium,Open,Security,Login issue,Login issue; Security; assigned Grace.,2/7/2024,2/9/2024,Grace,2024-02-07T19:00:00
131,9a3b5682,High,Open,Access,Login issue,Help David with Login issue (Access).,3/17/2024,3/22/2024,David,2024-03-17T07:06:00
132,34f0711d,Low,Open,Access,Software install request,Software install request — Access ticket assigned to Bob.,8/4/2024,,Bob,2024-08-04T05:43:00
133,d7a168ca,Critical,Open,Access,Software install request,Help David with Software install request (Access).,10/22/2024,11/2/2024,David,2024-10-22T22:27:00
134,6c8db74e,High,Closed,Security,Software install request,Help Alice with Software install request (Security).,9/17/2024,9/27/2024,Alice,2024-09-17T21:17:00
135,415c5363,Medium,Resolved,Security,Computer slow,Computer slow (Security) — ticket 415c5363.,7/25/2024,8/2/2024,Alice,2024-07-25T14:01:00
136,14f07fbb,Critical,In Progress,Security,Email not working,Security - Email not working. Priority: Critical.,2/25/2024,3/1/2024,Eve,2024-02-25T10:23:00
137,89c4c050,Critical,Closed,Hardware,Computer slow,Eve to resolve Computer slow in Hardware.,8/12/2024,8/19/2024,Eve,2024-08-12T15:09:00
138,f439c774,Medium,Resolved,Security,VPN problem,Help Frank with VPN problem (Security).,4/17/2024,4/28/2024,Frank,2024-04-17T23:50:00
139,0ad699f1,Medium,Resolved,Hardware,Software install request,Help Carol with Software install request (Hardware).,4/16/2024,4/19/2024,Carol,2024-04-16T11:31:00
140,f6d06d14,Medium,Closed,Security,Login issue,Security issue: Login issue — see ticket f6d06d14.,10/5/2024,10/12/2024,Frank,2024-10-05T11:42:00
141,58ca60b0,Medium,In Progress,Security,VPN problem,VPN problem (Security) — ticket 58ca60b0.,6/26/2024,7/4/2024,Grace,2024-06-26T00:49:00
142,31b1cabb,Critical,Closed,Security,Computer slow,Computer slow; Security; assigned Alice.,10/4/2024,10/8/2024,Alice,2024-10-04T04:56:00
143,281ab612,Low,In Progress,Access,VPN problem,VPN problem (Access) — ticket 281ab612.,4/1/2024,4/2/2024,Frank,2024-04-01T04:51:00
144,88852db9,High,Open,Access,Software install request,Software install request reported; Grace handling; High.,6/27/2024,,Grace,2024-06-27T18:12:00
145,067a99d4,Critical,In Progress,Network,VPN problem,Network issue: VPN problem — see ticket 067a99d4.,9/21/2024,9/29/2024,David,2024-09-21T14:31:00
146,a7f4d95a,Critical,Closed,Hardware,Software install request,Hardware issue: Software install request — see ticket a7f4d95a.,3/19/2024,,Frank,2024-03-19T14:43:00
147,0ee1ce05,High,Closed,Software,Software install request,High priority: Software install request (Software).,4/28/2024,5/4/2024,Eve,2024-04-28T04:25:00
148,e623a570,High,Closed,Access,Login issue,Bob to resolve Login issue in Access.,10/3/2024,10/7/2024,Bob,2024-10-03T06:53:00
149,87a6a4dd,High,Open,Software,Computer slow,Help Alice with Computer slow (Software).,6/26/2024,7/4/2024,Alice,2024-06-26T20:06:00
150,0cb7a752,Low,Closed,Software,VPN problem,Alice to resolve VPN problem in Software.,8/27/2024,9/4/2024,Alice,2024-08-27T15:09:00
151,8ac2b25b,Low,Resolved,Network,Login issue,Login issue (Network) — ticket 8ac2b25b.,10/17/2024,10/27/2024,David,2024-10-17T18:27:00
152,a0c81ab8,Critical,In Progress,Security,VPN problem,Critical - VPN problem. Assigned: Grace.,6/13/2024,6/20/2024,Grace,2024-06-13T00:27:00
153,69904e1c,High,Closed,Access,Software install request,Software install request; Access; assigned Carol.,2/3/2024,2/6/2024,Carol,2024-02-03T19:40:00
154,fb033ec1,Low,In Progress,Software,Computer slow,Computer slow reported; David handling; Low.,3/15/2024,3/26/2024,David,2024-03-15T08:15:00
155,68383622,Critical,Resolved,Security,Login issue,Login issue; Security; assigned David.,9/27/2024,10/5/2024,David,2024-09-27T15:58:00
156,461554cd,High,Open,Hardware,Email not working,Help David with Email not working (Hardware).,7/5/2024,7/6/2024,David,2024-07-05T21:13:00
157,00d5324a,Low,Open,Access,Login issue,Access - Login issue. Priority: Low.,6/10/2024,,Carol,2024-06-10T00:22:00
158,37c0530d,Low,Closed,Security,Login issue,Login issue — Security ticket assigned to Grace.,7/2/2024,7/5/2024,Grace,2024-07-02T17:15:00
159,719afd8d,High,Open,Software,VPN problem,High priority: VPN problem (Software).,3/29/2024,,Alice,2024-03-29T20:02:00
160,d225d295,Low,In Progress,Access,Computer slow,Low priority: Computer slow (Access).,6/17/2024,6/21/2024,Carol,2024-06-17T01:03:00
161,91885a56,Low,Open,Security,Login issue,Login issue (Security) — ticket 91885a56.,1/26/2024,,Alice,2024-01-26T17:18:00
162,956b74e1,High,Closed,Hardware,Software install request,Software install request; Hardware; assigned Carol.,8/22/2024,8/29/2024,Carol,2024-08-22T20:45:00
163,eff5de40,Critical,Resolved,Software,Login issue,Login issue — Software ticket assigned to Alice.,9/25/2024,,Alice,2024-09-25T11:55:00
164,7a733f70,High,Open,Hardware,Software install request,Software install request reported; Carol handling; High.,8/8/2024,,Carol,2024-08-08T03:57:00
165,573a621b,Medium,In Progress,Network,Login issue,Network - Login issue. Priority: Medium.,6/11/2024,,Carol,2024-06-11T08:38:00
166,1ea47d1a,Low,Open,Access,Software install request,Software install request; Access; assigned Bob.,8/14/2024,,Bob,2024-08-14T03:55:00
167,0245f17a,Low,In Progress,Network,Login issue,Login issue — Network ticket assigned to David.,1/26/2024,2/2/2024,David,2024-01-26T22:18:00
168,0f22572f,Medium,Closed,Access,Email not working,Access - Email not working. Priority: Medium.,7/7/2024,7/10/2024,Alice,2024-07-07T01:49:00
169,109e26f6,Critical,Resolved,Hardware,Login issue,Critical - Login issue. Assigned: Frank.,6/11/2024,6/21/2024,Frank,2024-06-11T07:57:00
170,723ac0c8,Critical,Resolved,Security,Software install request,Critical - Software install request. Assigned: Eve.,10/16/2024,10/23/2024,Eve,2024-10-16T09:31:00
171,884a1596,Low,Open,Access,Computer slow,Bob to resolve Computer slow in Access.,2/26/2024,3/8/2024,Bob,2024-02-26T18:06:00
172,1cb07dd3,High,Closed,Network,Login issue,Login issue; Network; assigned Grace.,7/1/2024,7/11/2024,Grace,2024-07-01T01:59:00
173,f4ad0af3,Low,In Progress,Network,Software install request,Low priority: Software install request (Network).,1/23/2024,2/1/2024,Frank,2024-01-23T21:19:00
174,e17b3dd5,Low,In Progress,Access,Email not working,Low - Email not working. Assigned: Eve.,10/15/2024,10/21/2024,Eve,2024-10-15T16:42:00
175,c87f9cd1,Critical,Closed,Software,Software install request,Carol to resolve Software install request in Software.,10/1/2024,10/6/2024,Carol,2024-10-01T14:52:00
176,db0a2208,High,Open,Software,Email not working,Email not working; Software; assigned David.,9/19/2024,9/26/2024,David,2024-09-19T10:13:00
177,459e7230,High,Resolved,Network,Computer slow,Help David with Computer slow (Network).,1/7/2024,1/16/2024,David,2024-01-07T23:06:00
178,807feee0,Critical,Resolved,Access,Computer slow,Help Bob with Computer slow (Access).,1/28/2024,2/7/2024,Bob,2024-01-28T22:57:00
179,6e857fbb,High,Open,Security,Email not working,High - Email not working. Assigned: David.,9/15/2024,9/18/2024,David,2024-09-15T00:04:00
180,21318d8a,Low,Resolved,Access,Software install request,Software install request; Access; assigned Alice.,10/15/2024,10/23/2024,Alice,2024-10-15T21:48:00
181,da137988,Critical,In Progress,Hardware,Login issue,Help Frank with Login issue (Hardware).,1/29/2024,,Frank,2024-01-29T00:45:00
182,5bd65679,Medium,In Progress,Security,Login issue,Security issue: Login issue — see ticket 5bd65679.,9/4/2024,,Grace,2024-09-04T01:51:00
183,8a57409c,Critical,Open,Security,VPN problem,VPN problem — Security ticket assigned to Alice.,3/12/2024,3/19/2024,Alice,2024-03-12T15:51:00
184,8fb04af3,Low,In Progress,Security,VPN problem,Security issue: VPN problem — see ticket 8fb04af3.,1/31/2024,,Carol,2024-01-31T07:27:00
185,3c0a272b,Low,In Progress,Hardware,VPN problem,VPN problem — Hardware ticket assigned to David.,3/25/2024,3/31/2024,David,2024-03-25T07:12:00
186,f9c3e5ea,Medium,Resolved,Access,VPN problem,VPN problem — Access ticket assigned to Frank.,7/26/2024,7/26/2024,Frank,2024-07-26T13:12:00
187,6e28b821,Medium,Resolved,Access,Computer slow,Computer slow reported; Bob handling; Medium.,9/3/2024,9/5/2024,Bob,2024-09-03T18:26:00
188,3a070c97,Low,Closed,Hardware,Email not working,Email not working — Hardware ticket assigned to David.,10/4/2024,10/14/2024,David,2024-10-04T20:27:00
189,a1ce473e,High,Resolved,Software,Computer slow,Help Frank with Computer slow (Software).,10/8/2024,10/15/2024,Frank,2024-10-08T08:49:00
190,bb95378a,Medium,Open,Network,Login issue,Network - Login issue. Priority: Medium.,5/30/2024,6/4/2024,Grace,2024-05-30T02:47:00
191,8fbe68e8,Critical,Resolved,Security,Computer slow,Help Eve with Computer slow (Security).,6/25/2024,6/29/2024,Eve,2024-06-25T07:01:00
192,99695715,Medium,Closed,Software,Email not working,Bob to resolve Email not working in Software.,3/23/2024,3/28/2024,Bob,2024-03-23T22:25:00
193,45072e7e,Medium,In Progress,Network,Software install request,Network issue: Software install request — see ticket 45072e7e.,5/27/2024,6/6/2024,Carol,2024-05-27T06:35:00
